epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,4797.63,1.29752,0.56834,1.01338,0.90982,0.84765,0.89531,0.55846,1.30119,inf,1.01337,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4870.01,1.29739,0.56691,1.01389,0.91054,0.84697,0.89534,0.55846,1.30144,inf,1.0137,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4940.5,1.29549,0.56667,1.01084,0.91186,0.84654,0.89527,0.55862,1.29977,inf,1.0123,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5012.55,1.29506,0.56501,1.01176,0.91071,0.84681,0.89536,0.55882,1.29952,inf,1.0128,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5084.89,1.29262,0.56333,1.01341,0.91086,0.84914,0.89548,0.55827,1.29975,inf,1.01291,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5157.49,1.29288,0.56341,1.01203,0.91239,0.84945,0.89641,0.5587,1.3,inf,1.01262,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5229.06,1.29139,0.56248,1.01316,0.91015,0.85088,0.89639,0.55871,1.29966,inf,1.01299,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5298.01,1.29305,0.56215,1.01064,0.90943,0.85078,0.89642,0.55863,1.30003,inf,1.01363,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5366.48,1.28998,0.56061,1.01077,0.91065,0.85032,0.8964,0.55873,1.30021,inf,1.01331,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5438.59,1.28937,0.55964,1.01128,0.91159,0.8495,0.89619,0.5588,1.30048,inf,1.01346,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5511.21,1.2882,0.55924,1.0094,0.91048,0.85083,0.89639,0.55947,1.29991,inf,1.01261,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5583.51,1.28722,0.55711,1.00862,0.91013,0.85089,0.89617,0.55932,1.29963,inf,1.01272,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5656.24,1.28622,0.55651,1.01103,0.91073,0.85095,0.89602,0.55888,1.29976,inf,1.01333,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5727.85,1.28632,0.55606,1.00831,0.91121,0.84921,0.89577,0.55937,1.29956,inf,1.01267,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5800.2,1.28398,0.55497,1.00827,0.91171,0.84933,0.89567,0.55907,1.29978,inf,1.01298,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5870.19,1.28304,0.55382,1.00721,0.91175,0.84991,0.89615,0.55886,1.30045,inf,1.01282,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5942.5,1.2831,0.55287,1.00685,0.91249,0.84854,0.89611,0.55895,1.30098,inf,1.01299,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6015.06,1.28231,0.55248,1.00721,0.9118,0.84929,0.8958,0.55926,1.30057,inf,1.01291,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
